,Startup_name,Status,Hype_score,Risk_score,Basic_Review,InvRating,Post-ICO,Raised,ICO_start_date,ICO_end_date,ICO_token_supply,Hard_cap_size,Registration_Country,Ticker,Type,Additional_Token_Emission,Accepted_Currencies,Pre-sale_start_date,Pre-sale_end_date,Registration_Year,Pre-sale_token_supply,Soft_cap,Country_Limitations,ICO_Platform,Dev_rating,T_Utility_token,T_Cryptocurrency,T_Security,Roi_ETH,USD_cap,ROI_coin,Chek,Error,Trends,ROI_coin_up,ROI_coin_down
0,XYONetwork,4.0,4.0,2.0,1.0,8.0,Votefor...,12000000,2018-03-20,2018-05-20,100000000000.0,48000000.0,United States,XYO,Utility-token,0.0,1.0,,,,,,,,2.8,1.0,0.0,0.0,1.65,10758939.7521,-75.1635,1.0,,0.8481651668725977,,-75.1635
1,AidCoin,4.0,2.0,1.0,1.0,8.0,Votefor...,16200000,2018-01-16,2018-02-01,,14708400.0,Switzerland,AID,,0.0,4.0,2017-11-19,2017-11-29,2017.0,,,,,1.0,1.0,0.0,0.0,,1781684.03979,8.56301,1.0,,0.5287287777175743,8.56301,
2,AppCoins,4.0,3.0,1.0,0.0,8.0,Votefor...,15300000,2017-12-12,2018-01-14,450000000.0,81731900.0,Singapore,APPC,Utility-token,0.0,,2017-11-05,2017-12-20,,90000000.0,2500000,,,2.8,1.0,0.0,0.0,1.74,7139068.950360001,-97.0889,1.0,,0.18092969919517066,,-97.0889
3,NAGACoin,4.0,2.0,4.0,0.0,8.0,Votefor...,45318896,2017-11-30,2017-12-15,,,,NGC,,0.0,6.0,2017-11-19,2017-12-26,,,,,,2.85,1.0,0.0,0.0,1.78,3918203.80898,-95.9343,1.0,,0.2591943374932643,,-95.9343
4,BLOCKv,4.0,3.0,1.0,0.0,8.0,Votefor...,1910589,2017-09-16,2017-10-22,,,,VEE,,0.0,2.0,,,,,,,,1.0,1.0,0.0,0.0,0.41,10905871.1999,-74.8822,1.0,,0.5630785844693402,,-74.8822
5,HelloGold,4.0,2.0,2.0,0.0,8.0,Votefor...,5073703,2017-08-28,2017-10-02,,,,HGT,,0.0,1.0,,,,,,,,1.0,1.0,0.0,0.0,0.11,438045.701543,-93.1121,1.0,,0.4632528797410471,,-93.1121
6,Opporty,4.0,3.0,2.0,1.0,7.0,Votefor...,0,2018-08-11,2018-09-15,625000000.0,,,OPP,Utility-token,0.0,1.0,2018-02-05,2018-03-10,,,,,,0.0,1.0,0.0,0.0,,,,1.0,,,,
7,Ubcoin,4.0,3.0,2.0,1.0,7.0,Votefor...,4310000,2018-04-02,2018-08-27,650000000.0,7517320.0,,UBC,Utility-token,0.0,1.0,2018-03-10,2018-03-31,,,,15.0,,0.0,1.0,0.0,0.0,,378462.625378,-91.2077,1.0,,,,-91.2077
8,Remme,4.0,3.0,2.0,1.0,7.0,Votefor...,17600000,2018-02-13,2018-02-14,1000000000.0,17000000.0,,REM,Utility-token,0.0,1.0,2017-12-03,2017-12-24,,,480000,,,1.0,1.0,0.0,0.0,0.85,3692161.13557,-78.396,1.0,,0.011408570627641152,,-78.396
9,AIRBLOC,4.0,2.0,1.0,0.0,7.0,Votefor...,10427400,2018-06-19,2018-07-19,,9373000.0,,ABL,Utility-token,0.0,1.0,2018-04-23,2018-05-11,,,7000ETH,3.0,,0.0,1.0,0.0,0.0,,5819764.83469,-31.9752,1.0,,,,-31.9752
10,FICNetwork(eFIC),4.0,3.0,2.0,0.0,7.0,Votefor...,4800000,2018-06-15,2018-07-15,297333333.0,16000000.0,United States,eFIC,Utility-token,0.0,2.0,2018-01-18,2018-05-15,,,3500ETH,,,0.08333,1.0,0.0,0.0,,,,1.0,,0.06592650261352914,,
11,SentinelProtocol,4.0,3.0,2.0,0.0,7.0,Votefor...,27700000,2018-05-27,2018-05-27,300000000.0,33000000.0,Singapore,UPP,Utility-token,0.0,1.0,2018-05-23,2018-05-26,2017.0,87500000.0,,,,1.0,1.0,0.0,0.0,0.49,4971705.69369,-79.6126,1.0,,1.2597385069811038,,-79.6126
12,SentinelProtocol,4.0,3.0,2.0,0.0,7.0,Votefor...,27700000,2018-05-27,2018-05-27,300000000.0,33000000.0,Singapore,UPP,Utility-token,0.0,1.0,2018-05-23,2018-05-26,2017.0,87500000.0,,,,1.0,1.0,0.0,0.0,0.49,4971705.69369,-79.6126,1.0,,1.2597385069811038,,-79.6126
13,Auctus,4.0,3.0,1.0,0.0,7.0,Votefor...,3865575,2018-04-10,2018-04-20,,4628700.0,,AUC,Utility-token,0.0,1.0,,,,,,,,0.0,1.0,0.0,0.0,,356325.093314,-97.93299999999999,1.0,,,,-97.93299999999999
14,Covesting,4.0,3.0,1.0,0.0,7.0,Votefor...,18750000,2017-11-23,2018-01-14,20000000.0,33987000.0,,COV,,0.0,1.0,2017-10-19,2017-11-18,,,,,,1.05,1.0,0.0,0.0,0.38,3484136.7248,-91.8869,1.0,,0.19105040048422509,,-91.8869
15,Privatix,4.0,2.0,2.0,0.0,7.0,Votefor...,2734075,2017-10-17,2017-11-14,,,,PRIX,,0.0,1.0,,,,,,,,1.13125,1.0,0.0,0.0,0.77,2787269.7631099997,-21.1562,1.0,,0.004530463542570472,,-21.1562
16,GenesisVision,4.0,4.0,2.0,0.0,7.0,Votefor...,2836724,2017-10-13,2017-11-13,,23000000.0,,GVT,,0.0,11.333333333333336,,,,,,,,4.0,1.0,0.0,0.0,9.65,17561411.9193,97.3955,1.0,,0.08215879539261331,97.3955,
17,B2Broker(B2B),4.0,1.0,2.0,0.0,7.0,Votefor...,9588223,2017-09-11,2017-11-15,,,,B2B,,0.0,6.333333333333332,,,,,,,,0.0,1.0,0.0,0.0,,8493339.0366,-67.6805,1.0,,,,-67.6805
18,Optherium,0.0,1.0,2.0,0.0,7.0,Votefor...,0,,,57941176.0,43000000.0,Switzerland,OPEX,Utility-token,0.0,7.666666666666668,,,,,5000000USD (fiat),2.0,,0.0,1.0,0.0,0.0,,,,1.0,,,,
19,Ultrain,0.0,1.0,2.0,0.0,7.0,Votefor...,0,,,100000000.0,,Singapore,UGS,Utility-token,0.0,2.0,,,2018.0,,,3.0,,0.0,1.0,0.0,0.0,,,,1.0,,,,
20,Akropolis,0.0,2.0,2.0,0.0,7.0,Votefor...,0,,,,25000000.0,Gibraltar,AKT,Utility-token,0.0,1.0,,,2018.0,,,,,0.0,1.0,0.0,0.0,,,,1.0,,,,
21,nOS(nOS),4.0,3.0,1.0,0.0,6.0,Votefor...,8786133,2018-10-29,2018-11-08,281250000.0,10000000.0,,nOS,Utility-token,0.0,1.0,,,,,,,,0.0,1.0,0.0,0.0,,3025997.13558,-1.7643099999999998,1.0,,,,-1.7643099999999998
22,Caspian,4.0,3.0,2.0,0.0,6.0,Votefor...,19500000,2018-10-17,2018-10-19,,19500000.0,Cayman Islands,CSP,Utility-token,0.0,1.0,,,,,5000000USD (fiat),3.0,,0.0,1.0,0.0,0.0,,5284194.57001,13.3492,1.0,,,13.3492,
23,Wono,4.0,3.0,2.0,0.0,6.0,Votefor...,0,2018-09-03,2018-10-01,47500000.0,20000000.0,,WONO,Utility-token,0.0,1.0,2018-08-06,2018-09-02,,,7000000USD (fiat),,,0.0,1.0,0.0,0.0,,,,1.0,,,,
24,Usechain,4.0,3.0,2.0,0.0,6.0,Votefor...,0,2018-08-08,2018-08-08,9000000000.0,28282600.0,United States,USE,Utility-token,0.0,2.0,2018-07-25,2018-08-07,2017.0,,1350BTC,,1.0,0.0,1.0,0.0,0.0,,,-37.0685,1.0,,0.4311142207666425,,-37.0685
25,IAGON,4.0,3.0,1.0,0.0,6.0,Votefor...,1425200,2018-07-07,2018-10-05,500000000.0,50000000.0,Norway,IAG,Utility-token,0.0,13.666666666666664,2018-05-27,2018-06-26,,200000000.0,5000000USD (fiat),,1.0,0.1,1.0,0.0,0.0,,,,1.0,,0.12129657610275366,,
26,IAGON,4.0,3.0,1.0,0.0,6.0,Votefor...,1425200,2018-07-07,2018-10-05,500000000.0,50000000.0,Norway,IAG,Utility-token,0.0,13.666666666666664,2018-05-27,2018-06-26,,200000000.0,5000000USD (fiat),,1.0,0.1,1.0,0.0,0.0,,,,1.0,,0.12129657610275366,,
27,Quadrant(eQUAD),4.0,2.0,1.0,0.0,6.0,Votefor...,16000000,2018-06-26,2018-07-26,,20000000.0,,eQUAD,Utility-token,0.0,1.0,,,,,3000000USD (fiat),10.0,,1.0,1.0,0.0,0.0,0.02,529469.747862,51.7126,1.0,,0.06750478716617311,51.7126,
28,FTEC,4.0,3.0,1.0,0.0,6.0,Votefor...,995000,2018-06-20,2018-07-18,,12694000.0,United Kingdom,FTEC,Utility-token,0.0,1.0,2018-04-24,2018-05-22,,,2000ETH,,,0.0,1.0,0.0,0.0,,,,1.0,,,,
29,OneLedger,4.0,3.0,2.0,0.0,6.0,Votefor...,15000000,2018-06-15,2018-07-15,35000000.0,15000000.0,,OLT,Utility-token,0.0,1.0,,,,,4000000USD (fiat),,,1.0,1.0,0.0,0.0,0.36,1159936.6949,-90.6597,1.0,,1.2282547492930027,,-90.6597
30,FANTOM,4.0,3.0,2.0,0.0,6.0,Votefor...,39400000,2018-06-15,2018-06-30,1270000000.0,39800000.0,,FTM,Utility-token,0.0,1.0,,,,,,5.0,,0.0,1.0,0.0,0.0,,17337672.0506,-33.792,1.0,,,,-33.792
31,EdenChain,4.0,3.0,,0.0,6.0,Votefor...,24000000,2018-05-25,2018-05-25,400000000.0,24000000.0,,EDN,Utility-token,0.0,2.0,,,2016.0,,,4.0,,0.0,1.0,0.0,0.0,,4043223.10871,-81.0381,1.0,,0.2722780458734227,,-81.0381
32,Bubbletone,4.0,2.0,2.0,0.0,6.0,Votefor...,8600000,2018-04-20,2018-05-20,,25000000.0,Ireland,UMT,Utility-token,0.0,8.333333333333334,2018-02-01,2018-02-20,2017.0,,,,,0.18261,1.0,0.0,0.0,,,,1.0,,0.08209336621883669,,
33,TheAbyss,4.0,4.0,1.0,0.0,6.0,Votefor...,15362418,2018-04-18,2018-05-16,362250000.0,18000000.0,Malta,ABYSS,Utility-token,0.0,1.0,,,2018.0,,6000000,8.0,,1.0,1.0,0.0,0.0,0.37,1666853.5988200004,-89.4213,1.0,,1.4153115633038376,,-89.4213
34,OrigamiNetwork,4.0,2.0,3.0,0.0,6.0,Votefor...,2945,2018-02-23,2018-03-23,50000000.0,2719150.0,,ORI,Utility-token,0.0,1.0,2018-02-12,2018-02-20,,,300ETH,,,1.0,1.0,0.0,0.0,0.55,72444.0700615,-97.8839,1.0,,0.0,,-97.8839
35,dock.io,4.0,4.0,1.0,0.0,6.0,Votefor...,20000000,2018-02-21,2018-02-21,300000000.0,20000000.0,,DOCK,Utility-token,0.0,1.0,2018-02-07,2018-02-20,,,10000000,1.0,,1.3,1.0,0.0,0.0,0.96,6684637.54461,-81.4618,1.0,,0.0014695752009184846,,-81.4618
36,PolySwarm,4.0,2.0,1.0,0.0,6.0,Votefor...,25910000,2018-02-20,2018-03-22,,50000000.0,United States,NCT,Utility-token,0.0,1.0,,,2017.0,,5000000,,,1.0,1.0,0.0,0.0,0.46,3730743.2785099996,-48.7158,1.0,,0.5725647773953373,,-48.7158
37,ArcBlock,4.0,3.0,2.0,0.0,6.0,Votefor...,45000000,2018-02-03,2018-02-10,186000000.0,31903100.0,United States,ABT,Utility-token,0.0,3.0,2018-01-11,2018-01-27,2017.0,,12000ETH,,,3.5,1.0,0.0,0.0,,22785341.846,-79.6933,1.0,,0.5973613473561237,,-79.6933
38,VINchain,4.0,2.0,1.0,0.0,6.0,Votefor...,6712883,2018-02-01,2018-04-15,1000000000.0,12419000.0,,VIN,Utility-token,0.0,4.333333333333333,2017-12-01,2017-12-24,,12500000.0,3330ETH,,,0.04,0.0,1.0,0.0,,3295213.9643599996,32.6662,1.0,,1.71625064924466,32.6662,
39,UnitedTraders,4.0,2.0,1.0,0.0,6.0,Votefor...,30854682,2017-11-29,2017-12-22,,,,UTT,,0.0,4.0,,,,,,,,3.0,1.0,0.0,0.0,2.11,18955393.235999998,-68.9002,1.0,,0.004066059872187053,,-68.9002
40,WaBi(WaBi),4.0,2.0,2.0,0.0,6.0,Votefor...,11500000,2017-11-26,2018-01-26,100000000.0,11500000.0,,WaBi,Utility-token,0.0,2.0,2017-07-26,2017-08-30,,10000000.0,,,,0.1,1.0,0.0,0.0,,18223134.9761,-76.5621,1.0,,0.06207491138997988,,-76.5621
41,ICOS,4.0,2.0,2.0,0.0,6.0,Votefor...,14600000,2017-08-13,2017-09-13,,,,ICOS,,0.0,6.0,,,,,,,,1.01579,0.0,0.0,1.0,0.11,,,1.0,,0.0406896748596424,,
42,TrueFlip,4.0,2.0,,0.0,6.0,Votefor...,8244292,2017-06-26,2017-07-24,,,,TFL,,0.0,3.0,,,,,,,,1.0,1.0,0.0,0.0,0.27,1319654.91713,-83.9256,1.0,,0.14589193379172552,,-83.9256
43,Golos,4.0,3.0,,0.0,6.0,Votefor...,0,2016-10-30,2016-12-02,,,Russian Federation,GOLOS,,0.0,1.0,,,,,,,,0.0,1.0,0.0,0.0,<0.01,985976.4266959999,-99.4929,1.0,,,,-99.4929
44,AkashNetwork,0.0,2.0,2.0,0.0,6.0,Votefor...,0,,,400000000.0,20000000.0,United States,AKASH,Utility-token,0.0,1.0,,,2015.0,,,8.0,,0.0,1.0,0.0,0.0,,,,1.0,,,,
45,Bethereum,0.0,4.0,2.0,0.0,6.0,Votefor...,18440000,,,600000000.0,,Hong Kong,BETHER,Utility-token,0.0,1.0,,,2017.0,,,,,0.0,1.0,0.0,0.0,,581005.503053,-69.7911,1.0,,0.19569684804136936,,-69.7911
46,DUONetwork,0.0,2.0,2.0,0.0,6.0,Votefor...,0,,,,,,DUO,Utility-token,0.0,1.0,,,,,,,,0.0,1.0,0.0,0.0,,18934.2543712,617.123,1.0,,0.17131358004949604,617.123,
47,Vault12,0.0,1.0,2.0,0.0,6.0,Votefor...,0,,,,,,VGT,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,1.0,,,,
48,real,4.0,1.0,2.0,0.0,5.0,Votefor...,10824148,2017-08-29,2017-09-28,,,,REAL,,0.0,1.0,,,,,,,,1.0,1.0,0.0,0.0,0.15,853967.461091,-90.4792,1.0,,0.900849520362596,,-90.4792
49,mHealthCoin,0.0,1.0,,0.0,4.0,Votefor...,0,,,,,,MHEC,,0.0,,,,,,,,,0.0,1.0,0.0,0.0,,,,1.0,,,,
50,DreamTeam,4.0,3.0,1.0,1.0,4.0,Votefor...,10000000,2018-04-19,2018-05-19,,21000000.0,,DREAM,Utility-token,0.0,2.0,2017-12-07,2018-04-18,,,,,,0.78,1.0,0.0,0.0,,30726.858855299997,-90.2495,1.0,,0.06759751693803072,,-90.2495
51,Cognida,4.0,2.0,2.0,0.0,4.0,Votefor...,0,2018-09-28,2018-09-30,,20000000.0,,COG,Utility-token,0.0,3.0,,,,,,,,0.0,1.0,0.0,0.0,,,,1.0,,,,
52,Varanida,4.0,3.0,2.0,0.0,4.0,Votefor...,0,2018-09-28,2018-10-06,530000000.0,,France,VAD,Utility-token,0.0,2.0,2018-06-25,2018-08-15,2018.0,,8000000USD (fiat),8.0,,0.0,1.0,0.0,0.0,,,,1.0,,,,
53,Vanig,4.0,3.0,2.0,0.0,4.0,Votefor...,0,2018-08-22,2018-09-25,63000000.0,20000000.0,,VANIG,Cryptocurrency,0.0,4.0,2018-08-15,2018-08-21,,26000000.0,2000000USD (fiat),,,0.0,1.0,0.0,0.0,,,,1.0,,,,
54,CodexProtocol,4.0,2.0,2.0,0.0,4.0,Votefor...,12000000,2018-07-24,2018-08-24,400000000.0,15000000.0,United States,CODX,Utility-token,0.0,1.0,,,2018.0,,,3.0,,0.0,0.0,0.0,1.0,,,,1.0,,0.5393402677205548,,
55,OSADC,4.0,3.0,2.0,0.0,4.0,Votefor...,40000000,2018-07-21,2018-08-31,2800000000.0,40000000.0,British Virgin Islands,OSA,Utility-token,0.0,6.333333333333332,2018-05-21,2018-07-03,,,,,,0.14815,1.0,0.0,0.0,,6861690.2296699975,-93.6644,1.0,,0.023664654147344918,,-93.6644
56,Friend,4.0,2.0,2.0,0.0,4.0,Votefor...,424080,2018-06-15,2018-12-21,1640000000.0,60000000.0,Norway,FRND,Utility-token,0.0,2.0,,,2018.0,,10000ETH,,,0.0,1.0,0.0,0.0,,,,1.0,,0.2202019696014748,,
57,Alethena,4.0,1.0,2.0,0.0,4.0,Votefor...,583000,2018-06-06,2018-06-27,,30250000.0,Switzerland,ATH,Security,0.0,2.0,2018-05-23,2018-05-30,,,3025000USD (fiat),2.0,,0.0,1.0,0.0,0.0,,72191.37175539999,-49.3249,1.0,,0.08180874185647673,,-49.3249
58,BigbomEco,4.0,4.0,2.0,0.0,4.0,Votefor...,2000000,2018-05-28,2018-06-10,90000000.0,6296880.0,Singapore,BBO,Utility-token,0.0,3.333333333333333,2018-03-28,2018-03-31,2018.0,25000000.0,1500ETH,,,1.3,1.0,0.0,0.0,0.12,282359.031669,-94.5348,1.0,,6.117311174871317,,-94.5348
59,Multiversum,4.0,4.0,2.0,0.0,4.0,Votefor...,13274220,2018-05-01,2018-06-24,107160000.0,65000000.0,Malta,EMTV,Utility-token,0.0,4.0,2018-03-01,2018-03-31,,,5000000USD (fiat),,,0.0,1.0,0.0,0.0,,,,1.0,,0.21402578149206805,,
60,SmokeNetwork,4.0,2.0,2.0,0.0,4.0,Votefor...,250000,2018-04-20,2018-05-25,122282995.0,10000000.0,Belize,SMOKE,Utility-token,1.0,,,,2018.0,,,2.0,,3.4,1.0,0.0,0.0,2.48,,,1.0,,0.3215277196723676,,
61,CEEK,4.0,2.0,2.0,0.0,4.0,Votefor...,17344575,2018-04-16,2018-05-03,,,United States,CEEK,Utility-token,0.0,2.0,2018-03-26,2018-04-15,2015.0,,5000000USD (fiat),,,1.0,1.0,0.0,0.0,0.03,2322645.98665,-90.9555,1.0,,0.9923619245758284,,-90.9555
62,Sapien,4.0,3.0,2.0,0.0,4.0,Votefor...,11740619,2018-03-28,2018-04-03,,30000000.0,United States,SPN,Utility-token,0.0,1.0,2018-01-31,2018-02-15,2015.0,,,,,0.0,1.0,0.0,0.0,,332873.647243,-78.5017,1.0,,0.6089976606026376,,-78.5017
63,Omnitude,4.0,4.0,1.0,0.0,4.0,Votefor...,7497400,2018-03-28,2018-05-31,50000000.0,20700000.0,United Kingdom,ECOM,Utility-token,0.0,3.0,2018-01-30,2018-02-12,2017.0,5000000.0,10000000,,,0.0,1.0,0.0,0.0,,3779273.14066,-41.2164,1.0,,1.4560589823740446,,-41.2164
64,Omnitude,4.0,4.0,1.0,0.0,4.0,Votefor...,7497400,2018-03-28,2018-05-31,50000000.0,20700000.0,United Kingdom,ECOM,Utility-token,0.0,3.0,2018-01-30,2018-02-12,2017.0,5000000.0,10000000,,,0.0,1.0,0.0,0.0,,3779273.14066,-41.2164,1.0,,1.4560589823740446,,-41.2164
65,StopTheFakes,4.0,2.0,1.0,0.0,4.0,Votefor...,496000,2018-03-21,2018-04-21,20271000.0,,Czech Republic,STF,Utility-token,0.0,2.0,2018-01-21,2018-02-21,2017.0,1305000.0,,,,0.0,1.0,0.0,0.0,,,,1.0,,0.016948614560469248,,
